name,types,height,weight,stats,devis
Bulbizarre,Plante-Poison,"0,7 m, soit 2 pieds 4 pouces","6,9 kg, soit 15,2 livres","{'PV': 45, 'Attaque': 49, 'Défense': 49, 'Attaque Spéciale': 65, 'Défense Spéciale': 65, 'Vitesse': 45, 'Spécial': 65}",Superball
Herbizarre,Plante-Poison,"1,0 m, soit 3 pieds 3 pouces","13,0 kg, soit 28,7 livres","{'PV': 60, 'Attaque': 62, 'Défense': 63, 'Attaque Spéciale': 80, 'Défense Spéciale': 80, 'Vitesse': 60, 'Spécial': 80}",Superball
Florizarre,Plante-Poison,"2,0 m, soit 6 pieds 7 pouces","100,0 kg, soit 220,5 livres","{'PV': 80, 'Attaque': 82, 'Défense': 83, 'Attaque Spéciale': 100, 'Défense Spéciale': 100, 'Vitesse': 80, 'Spécial': 100}",Superball
Salamèche,Feu,"0,6 m, soit 2 pieds 0 pouce","8,5 kg, soit 18,7 livres","{'PV': 39, 'Attaque': 52, 'Défense': 43, 'Attaque Spéciale': 60, 'Défense Spéciale': 50, 'Vitesse': 65, 'Spécial': 50}",Superball
Reptincel,Feu,"1,1 m, soit 3 pieds 7 pouces","19,0 kg, soit 41,9 livres","{'PV': 58, 'Attaque': 64, 'Défense': 58, 'Attaque Spéciale': 80, 'Défense Spéciale': 65, 'Vitesse': 80, 'Spécial': 65}",Superball
Dracaufeu,Feu-Vol,"1,7 m, soit 5 pieds 7 pouces","90,5 kg, soit 199,5 livres","{'PV': 78, 'Attaque': 84, 'Défense': 78, 'Attaque Spéciale': 109, 'Défense Spéciale': 85, 'Vitesse': 100, 'Spécial': 85}",Superball
Carapuce,Eau,"0,5 m, soit 1 pied 8 pouces","9,0 kg, soit 19,8 livres","{'PV': 44, 'Attaque': 48, 'Défense': 65, 'Attaque Spéciale': 50, 'Défense Spéciale': 64, 'Vitesse': 43, 'Spécial': 50}",Superball
Carabaffe,Eau,"1,0 m, soit 3 pieds 3 pouces","22,5 kg, soit 49,6 livres","{'PV': 59, 'Attaque': 63, 'Défense': 80, 'Attaque Spéciale': 65, 'Défense Spéciale': 80, 'Vitesse': 58, 'Spécial': 65}",Superball
Tortank,Eau,"1,6 m, soit 5 pieds 3 pouces","85,5 kg, soit 188,5 livres","{'PV': 79, 'Attaque': 83, 'Défense': 100, 'Attaque Spéciale': 85, 'Défense Spéciale': 105, 'Vitesse': 78, 'Spécial': 85}",Superball
Chenipan,Insecte,"0,3 m, soit 1 pied 0 pouce","2,9 kg, soit 6,4 livres","{'PV': 45, 'Attaque': 30, 'Défense': 35, 'Attaque Spéciale': 20, 'Défense Spéciale': 20, 'Vitesse': 45, 'Spécial': 20}",Pokéball
Chrysacier,Insecte,"0,7 m, soit 2 pieds 4 pouces","9,9 kg, soit 21,8 livres","{'PV': 50, 'Attaque': 20, 'Défense': 55, 'Attaque Spéciale': 25, 'Défense Spéciale': 25, 'Vitesse': 30, 'Spécial': 25}",Pokéball
Papilusion,Insecte-Vol,"1,1 m, soit 3 pieds 7 pouces","32,0 kg, soit 70,5 livres","{'PV': 60, 'Attaque': 45, 'Défense': 50, 'Attaque Spéciale': 90, 'Défense Spéciale': 80, 'Vitesse': 70}",Superball
Aspicot,Insecte-Poison,"0,3 m, soit 1 pied 0 pouce","3,2 kg, soit 7,1 livres","{'PV': 40, 'Attaque': 35, 'Défense': 30, 'Attaque Spéciale': 20, 'Défense Spéciale': 20, 'Vitesse': 50, 'Spécial': 20}",Pokéball
Coconfort,Insecte-Poison,"0,6 m, soit 2 pieds 0 pouce","10,0 kg, soit 22,0 livres","{'PV': 45, 'Attaque': 25, 'Défense': 50, 'Attaque Spéciale': 25, 'Défense Spéciale': 25, 'Vitesse': 35, 'Spécial': 25}",Pokéball
Dardargnan,Insecte-Poison,"1,0 m, soit 3 pieds 3 pouces","29,5 kg, soit 65,0 livres","{'PV': 65, 'Attaque': 90, 'Défense': 40, 'Attaque Spéciale': 45, 'Défense Spéciale': 80, 'Vitesse': 75}",Superball
Roucool,Normal-Vol,"0,3 m, soit 1 pied 0 pouce","1,8 kg, soit 4,0 livres","{'PV': 40, 'Attaque': 45, 'Défense': 40, 'Attaque Spéciale': 35, 'Défense Spéciale': 35, 'Vitesse': 56, 'Spécial': 35}",Pokéball
Roucoups,Normal-Vol,"1,1 m, soit 3 pieds 7 pouces","30,0 kg, soit 66,1 livres","{'PV': 63, 'Attaque': 60, 'Défense': 55, 'Attaque Spéciale': 50, 'Défense Spéciale': 50, 'Vitesse': 71, 'Spécial': 50}",Superball
Roucarnage,Normal-Vol,"1,5 m, soit 4 pieds 11 pouces","39,5 kg, soit 87,1 livres","{'PV': 83, 'Attaque': 80, 'Défense': 75, 'Attaque Spéciale': 70, 'Défense Spéciale': 70, 'Vitesse': 101}",Superball
Rattata,Normal,"0,3 m, soit 1 pied 0 pouce","3,5 kg, soit 7,7 livres","{'PV': 30, 'Attaque': 56, 'Défense': 35, 'Attaque Spéciale': 25, 'Défense Spéciale': 35, 'Vitesse': 72, 'Spécial': 25}",Pokéball
Rattatac,Normal,"0,7 m, soit 2 pieds 4 pouces","18,5 kg, soit 40,8 livres","{'PV': 55, 'Attaque': 81, 'Défense': 60, 'Attaque Spéciale': 50, 'Défense Spéciale': 70, 'Vitesse': 97, 'Spécial': 50}",Superball
Piafabec,Normal-Vol,"0,3 m, soit 1 pied 0 pouce","2,0 kg, soit 4,4 livres","{'PV': 40, 'Attaque': 60, 'Défense': 30, 'Attaque Spéciale': 31, 'Défense Spéciale': 31, 'Vitesse': 70, 'Spécial': 31}",Pokéball
Rapasdepic,Normal-Vol,"1,2 m, soit 3 pieds 11 pouces","38,0 kg, soit 83,8 livres","{'PV': 65, 'Attaque': 90, 'Défense': 65, 'Attaque Spéciale': 61, 'Défense Spéciale': 61, 'Vitesse': 100, 'Spécial': 61}",Superball
Abo,Poison,"2,0 m, soit 6 pieds 7 pouces","6,9 kg, soit 15,2 livres","{'PV': 35, 'Attaque': 60, 'Défense': 44, 'Attaque Spéciale': 40, 'Défense Spéciale': 54, 'Vitesse': 55, 'Spécial': 40}",Pokéball
Arbok,Poison,"3,5 m, soit 11 pieds 6 pouces","65,0 kg, soit 143,3 livres","{'PV': 60, 'Attaque': 95, 'Défense': 69, 'Attaque Spéciale': 65, 'Défense Spéciale': 79, 'Vitesse': 80}",Superball
Pikachu,Électrik,"0,4 m, soit 1 pied 4 pouces","6,0 kg, soit 13,2 livres","{'PV': 35, 'Attaque': 55, 'Défense': 40, 'Attaque Spéciale': 50, 'Défense Spéciale': 50, 'Vitesse': 90}",Superball
Raichu,Électrik,"0,8 m, soit 2 pieds 7 pouces","30,0 kg, soit 66,1 livres","{'PV': 60, 'Attaque': 90, 'Défense': 55, 'Attaque Spéciale': 90, 'Défense Spéciale': 80, 'Vitesse': 110}",Superball
Sabelette,Sol,"0,6 m, soit 2 pieds 0 pouce","12,0 kg, soit 26,5 livres","{'PV': 50, 'Attaque': 75, 'Défense': 85, 'Attaque Spéciale': 20, 'Défense Spéciale': 30, 'Vitesse': 40, 'Spécial': 30}",Pokéball
Sablaireau,Sol,"1,0 m, soit 3 pieds 3 pouces","29,5 kg, soit 65,0 livres","{'PV': 75, 'Attaque': 100, 'Défense': 110, 'Attaque Spéciale': 45, 'Défense Spéciale': 55, 'Vitesse': 65, 'Spécial': 55}",Superball
Nidoran♀,Poison,"0,4 m, soit 1 pied 4 pouces","7,0 kg, soit 15,4 livres","{'PV': 55, 'Attaque': 47, 'Défense': 52, 'Attaque Spéciale': 40, 'Défense Spéciale': 40, 'Vitesse': 41, 'Spécial': 40}",Pokéball
